phrase,thing,t_s,t_e,place,p_s,p_e,rating
Frankies Pizzaria Restaurant's colonia chubut is was bomb,colonia  chubut,-1,15,Frankies Pizzaria Restaurant,0,29,was bomb
Dunkin Donuts's hot sweet potatoes is could have been better,hot sweet potatoes,16,35,Dunkin Donuts,0,14,could have been better
my scharlachberger auslese at Italian Express was terrible,scharlachberger auslese,3,27,Italian Express,30,46,terrible
the straight whiskeys at Pepes Mexican Food is sucked,straight whiskeys,4,22,Pepes Mexican Food,25,44,sucked
pitcher lemonade Wok Out Llc acceptable,pitcher lemonade,0,17,Wok Out Llc,17,29,acceptable
the dillgurken I had at United Club was bad,dillgurken,4,15,United Club,24,36,bad
barbaresco bgiacosa piemonte vini rossi italiani Noah Ark Food not that bad,barbaresco  bgiacosa  piemonte vini rossi italiani,-1,50,Noah Ark Food,49,63,not that bad
the boiled fish whitefish at Brentano is not that bad,boiled fish whitefish,4,26,Brentano,29,38,not that bad
the irroy extra sec vintage of at El Mercado Baratoinc is delicious,irroy extra sec vintage of ,4,32,El Mercado Baratoinc,34,55,delicious
Ap Deli Inc Xi's deidesheimer leinhohle riesling auslese origabf weingut reichsrat von buhl is tasty, deidesheimer leinhohle riesling auslese origabf weingut reichsrat von buhl,16,92,Ap Deli Inc Xi,0,15,tasty
The Crab Pad Llc's sour dough boules is bad,sour dough boules,19,37,The Crab Pad Llc,0,17,bad
delicious caviare Scooters Frozen Custard Llc,caviare,10,18,Scooters Frozen Custard Llc,18,46,delicious
not that good grilled black pepper elk tenderloin with scallion risotto and a smoked apple and cranberry jus lie Taco Burrito Palace,grilled black pepper elk tenderloin with scallion risotto and a smoked apple and cranberry jus lie,14,113,Taco  Burrito Palace,-1,20,not that good
Subway's the northern breakfast consisting of any kind of fruit in season is bad,the northern breakfast consisting of any kind of fruit in season,9,74,Subway,0,7,bad
the pouding a la victoria I had at Kelvyn Park Senior Satellite Center was tasty,pouding a la victoria,4,26,Kelvyn Park Senior Satellite Center,35,71,tasty
thin hot cakes served with bacon with butter La Tiendita Foodmart tasty,thin hot cakes served with bacon with butter,0,45,La Tiendita Foodmart,45,66,tasty
I thought the hawaiian festival chicken young chicken at Moes Cantina was delicious,hawaiian festival chicken  young chicken,-1,40,Moes Cantina,57,70,delicious
Babylon Food And Cafe's geraucherter lachs mit butter und toast is bad,geraucherter lachs mit butter und toast,24,64,Babylon Food And Cafe,0,22,bad
the poached fowl with noodles at Potbelly Sandwich Works is was bomb,poached fowl with noodles,4,30,Potbelly Sandwich Works,33,57,was bomb
rock fish a la cream Mcdonalds Restaurant terrible,rock fish a la cream,0,21,Mcdonalds Restaurant,21,42,terrible
Ken Kee Restaurant's malt beer is okay,malt beer,21,31,Ken Kee Restaurant,0,19,okay
my kitz gebacken at The Bagel Inc was sucked,kitz gebacken,3,17,The Bagel Inc,20,34,sucked
Rachels Learning Centers Ltd's tam sorn wonton is delicious,tam sorn wonton,31,47,Rachels Learning Centers Ltd,0,29,delicious
I thought the la poire at Potbelly Sandwich Works Llc was not that bad,la poire,14,23,Potbelly Sandwich Works Llc,26,54,not that bad
my pouillyfuisse latour at Bills Pub was delicious,pouillyfuisse latour,3,24,Bills Pub,27,37,delicious
the rum omelette I had at Panaderia Y Pizzeria La Villa was good,rum omelette,4,17,Panaderia Y Pizzeria La Villa,26,56,good
good head lettuce island dressing Rehydrate Water Bar Cafe,head lettuce  island dressing,-1,29,Rehydrate Water Bar  Cafe,-1,25,good
I thought the fresh eggs cooked any style one egg at Five One Food Mart Inc was good,fresh eggs cooked any style one egg,14,50,Five One Food Mart Inc,53,76,good
Academy Of Global Citizenship's ysasi co vino de pasto is could have been better,ysasi  co vino de pasto,-1,23,Academy Of Global Citizenship,0,30,could have been better
I thought the roths special chocolate layer cake at Hook Fish Chicken was not that bad,roths special chocolate layer cake,14,49,Hook Fish  Chicken,-1,18,not that bad
the green cord at Red Eyes Coffee Corp is sucked,green cord,4,15,Red Eyes Coffee Corp,18,39,sucked
was bomb shad roe on toast with bacon Triple A Services Inc,shad roe on toast with bacon,9,38,Triple A Services Inc,38,60,was bomb
the salad parisian at Stevos Grill is sucked,salad parisian,4,19,Stevos Grill,22,35,sucked
I thought the sweetbread jardiniere at Incarnatioin Headstart was not that good,sweetbread jardiniere,14,36,Incarnatioin Headstart,39,62,not that good
I thought the chablismorcau at Aaa Grocery was okay,chablismorcau,14,28,Aaa Grocery,31,43,okay
my egyptian at Edge Of Sweetness was decent,egyptian,3,12,Edge Of Sweetness,15,33,decent
M Burger's fresh seafood romanoff is not that good,fresh seafood romanoff,11,34,M Burger,0,9,not that good
decent shrimp marcell in garlic butter Palmer House Hilton,shrimp marcell in garlic butter,7,39,Palmer House Hilton,39,59,decent
my jagertopf entrecote champignons bohnen kartoffeln at Andres Store One was decent,jagertopf entrecote  champignons bohnen  kartoffeln,-1,51,Andres  Store  One,-1,18,decent
robert mondavi chardonnay Wicker Basket Market delicious,robert mondavi chardonnay,0,26,Wicker Basket Market,26,47,delicious
the aiguillettes de redsnapper marimee at Two Fish is sucked,aiguillettes de redsnapper marimee,4,39,Two Fish,42,51,sucked
my celery or horseradish mustard at Little Village Mini Mart Inc was terrible,celery or horseradish mustard,3,33,Little Village Mini Mart Inc,36,65,terrible
the roast guinea hen at All American Nursing Home is was bomb,roast guinea hen ,4,22,All American Nursing Home,24,50,was bomb
my tomato farce at Fruteria Lina was terrible,tomato farce,3,16,Fruteria Lina,19,33,terrible
my dindonneau bouilli at Shell Subway was bad,dindonneau bouilli,3,22,Shell Subway,25,38,bad
my lobster newburg en casserole ff potato at Uno Rogers Park was sucked,lobster newburg en casserole ff potato,3,42,Uno Rogers Park,45,61,sucked
my fried green smelts with bacon at Froyo Chicago Corporation was not that good,fried green smelts with bacon,3,33,Froyo Chicago Corporation,36,62,not that good
rowntrees chocolate Taylor Tots Day Care Ltd terrible,rowntrees chocolate,0,20,Taylor  Tots Day Care Ltd,-1,25,terrible
the stuffed sweet cucumber I had at Cooking Fools Llc was acceptable,stuffed sweet cucumber,4,27,Cooking Fools Llc,36,54,acceptable
Yakzies Bar Grill monday hungarian beef goulash with flour dumplings acceptable,monday hungarian beef goulash with flour dumplings,18,69,Yakzies Bar  Grill,-1,18,acceptable
my kalbsleber mit speck und zwiebeln at Starbucks Coffee was was bomb,kalbsleber mit speck und zwiebeln,3,37,Starbucks Coffee ,40,58,was bomb
not that bad vercherres splendide rose pink sparkling wine Zamzam Banquet Hall,vercherres splendide rose pink sparkling wine,13,59,Zamzam Banquet Hall,59,79,not that bad
not that bad taco La Michoacana Favorita Llc,taco ,13,19,La Michoacana Favorita Llc,18,45,not that bad
Artists Cafe stcroix rum tasty,stcroix rum,13,25,Artists Cafe,0,13,tasty
the pigeon with greenpeas I had at Caro Mio Italian Ristorante was good,pigeon with greenpeas,4,26,Caro Mio Italian Ristorante,35,63,good
the roast beef plate I had at Waffles was okay,roast beef plate,4,21,Waffles,30,38,okay
I thought the yang chow chow fon fried rice at Sublime Sushi was decent,yang chow chow fon fried rice,14,44,Sublime Sushi,47,61,decent
the eet potatoes fried I had at Zuzu Wraps Inc was tasty,eet potatoes  fried,-1,19,Zuzu Wraps Inc,32,47,tasty
decent parleys Lavo Asian Grill Inc,parleys,7,15,Lavo Asian Grill Inc,15,36,decent
I thought the grenadine a leau cordial at Fruteria Favela Inc was tasty,grenadine a leau cordial,14,39,Fruteria Favela Inc,42,62,tasty
white mountain cake Leonas Restaurant sucked,white mountain cake ,0,21,Leonas Restaurant,20,38,sucked
the native tomatoes I had at Kedzie Food Meat was not that bad,native tomatoes,4,20,Kedzie Food  Meat,-1,17,not that bad
Las Tres Campanitas Inc chateau dillon claret not that bad,chateau dillon claret,24,46,Las Tres Campanitas Inc ,0,25,not that bad
my tomates grilles at Royal Cupcakesbakes was bad,tomates grilles ,3,20,Royal Cupcakesbakes,22,42,bad
Harolds Chicken Shack's froid volaille reine is was bomb,froid volaille reine,24,45,Harolds Chicken Shack,0,22,was bomb
the detection of crime I had at Chipotle Mexican Grill was bad,detection of crime,4,23,Chipotle Mexican Grill,32,55,bad
the oxbow chesapeake at Tonys Beef Sub is decent,oxbow chesapeake,4,21,Tonys Beef  Sub,-1,15,decent
I thought the cherry tomatoes with butter at Katakana Fiesta Koko Grill was not that good,cherry tomatoes with butter,14,42,Katakana  Fiesta  Koko Grill,-1,28,not that good
terrible halibut de la colombie la dampierre Tbs African Restaurant,halibut de la colombie  la dampierre,-1,36,Tbs African Restaurant,45,68,terrible
Norwegianamerician Hospital fromage de hollande terrible,fromage de hollande,28,48,Norwegianamerician Hospital,0,28,terrible
sea trout persane Mcdonalds bad,sea trout persane,0,18,Mcdonalds,18,28,bad
the dugucachis beef at Solo Food Deliinc is not that good,dugucachis beef,4,20,Solo Food  Deliinc,-1,18,not that good
Jersey Mikes Subs's gelee au rhum is acceptable,gelee au rhum,20,34,Jersey Mikes Subs,0,18,acceptable
my braized duck and olives at Dunkin Donuts was tasty,braized duck and olives,3,27,Dunkin Donuts,30,44,tasty
Montessori Learning Center Of Edison Park Inc sandwiches de jamon o lengua good,sandwiches de jamon o lengua,46,75,Montessori Learning Center Of Edison Park Inc,0,46,good
stangenspargel mit sauce vinaigrette Tre Kronor Restaurant not that bad,stangenspargel mit sauce vinaigrette,0,37,Tre Kronor Restaurant,37,59,not that bad
all cereals with milk The Joynt was bomb,all cereals with milk,0,22,The Joynt,22,32,was bomb
Subway's killarney salad is decent,killarney salad,9,25,Subway,0,7,decent
Starbucks Coffee milano coffee with amaretto and rum acceptable,milano coffee with amaretto and rum,17,53,Starbucks Coffee ,0,18,acceptable
the sorbet marasquin at Char Broil House Incorporated is okay,sorbet marasquin,4,21,Char Broil House Incorporated,24,54,okay
Jimmy Johns Washington's newburg or dewey is could have been better,newburg or dewey,25,42,Jimmy Johns  Washington,-1,23,could have been better
my pfirsch flambee at Gold Standard was terrible,pfirsch flambee,3,19,Gold Standard,22,36,terrible
I thought the steamed african lobster tail at Kentucky Fried Chicken was okay,steamed african lobster tail,14,43,Kentucky Fried Chicken,46,69,okay
Chicago Urban Day School Inc's nougat pyramides is bad,nougat pyramides,31,48,Chicago Urban Day School Inc,0,29,bad
Bennigans ingelheimer was bomb,ingelheimer,10,22,Bennigans ,0,11,was bomb
Tuscany Cafe imperial stuffed flounder stuffed with crabmeat served with lemon wedge and tarter sauce tasty,imperial stuffed flounder stuffed with crabmeat served with lemon wedge and tarter sauce,13,102,Tuscany Cafe,0,13,tasty
my milkrice cereal at Birrieria El Viejoinc was could have been better,milkrice cereal,3,19,Birrieria El Viejoinc,22,44,could have been better
decent consumme a la royale Bluesea Grill Fish And Chicken,consumme a la royale,7,28,Bluesea Grill Fish And Chicken,28,59,decent
El Vigia Restaurant stuffed celery rochelais sucked,stuffed celery rochelais,20,45,El Vigia Restaurant,0,20,sucked
Kabab Grill Inc soles la joinville au vin blanc not that good,soles  la joinville au vin blanc,-1,32,Kabab Grill Inc,0,16,not that good
my potatoes large baked idaho at Burger King was sucked,potatoes large baked idaho,3,30,Burger King ,33,46,sucked
bad turkey hash served with two vegetables Kilmer Elementary,turkey hash served with two vegetables,4,43,Kilmer  Elementary,-1,18,bad
terrible formaggi liederkranz Gateway Foundationkedzie Cent,formaggi liederkranz,9,30,Gateway Foundationkedzie Cent,30,60,terrible
the tasse fleischbruhe mit rindermark at Burger King is terrible,tasse fleischbruhe mit rindermark,4,38,Burger King ,41,54,terrible
Yolksinc angel hair pasta tossed with goat cheese okay,angel hair pasta tossed with goat cheese,9,50, Yolksinc,-1,9,okay
my prinzessbohnen mit petersiliebutter at Turtles was not that good,prinzessbohnen mit petersiliebutter,3,39,Turtles,42,50,not that good
the cup st jaques at Bixi Brewery is not that bad,cup st jaques,4,18,Bixi Brewery,21,34,not that bad
Jimmy Johns tripe a lespagnole was bomb,tripe a lespagnole,12,31,Jimmy Johns,0,12,was bomb
my or with va ice cream at Hana was good,or with va ice cream,3,24,Hana,27,32,good
I thought the grapefruit supremes in cup american at Munoz Marinlowell was sucked,grapefruit supremes in cup american,14,50,Munoz Marinlowell,53,71,sucked
the mousse of chicken I had at Bulldog Ale House was was bomb,mousse of chicken,4,22,Bulldog Ale House,31,49,was bomb
Chicago Signature Services langue de boeuf a lepicure not that good,langue de boeuf a lepicure,27,54,Chicago Signature Services,0,27,not that good
King Selective Enrolh ozor gotowany delicious,ozor gotowany,22,36,King Selective Enrolh,0,22,delicious
good mit erbsen und carotten Mobil Gas Station,mit erbsen und carotten,5,29,Mobil Gas Station,29,47,good
Dominicks 's la cote la pontrause mont is not that good,la cote la pontrause mont ,13,40,Dominicks ,0,11,not that good
bad confitures varies Homeslyce Wheel House,confitures varies,4,22,Homeslyce Wheel House,22,44,bad
the coeur de laitue lincoln at Wolfgang Puck Catering is sucked,coeur de laitue lincoln,4,28,Wolfgang Puck Catering,31,54,sucked
my chow yee peen at Hub was good,chow yee peen ,3,18,Hub ,20,25,good
Sbarros Pizzeria's lillian russell with french cream is okay,lillian russell with french cream,19,53,Sbarros Pizzeria,0,17,okay
acceptable ham with cole slaw and russian dressing sandwich Las Asadas,ham with cole slaw and russian dressing sandwich,11,60,Las Asadas,60,71,acceptable
Makki Fast Food And Grill's volaille froide is terrible, volaille froide,27,44,Makki Fast Food And Grill,0,26,terrible
the medallion of turbot la catalone at Americas Dog is okay,medallion of turbot  la catalone,-1,32,Americas Dog,39,52,okay
I thought the legeret hnsekdsuppe m champignons og asparges at St Aloysius Children Services was bad,legeret hnsekdsuppe m champignons og asparges,14,60,St Aloysius Children Services,63,93,bad
the country fried steak a tenderized top sirloin steak breaded with cornmeal and pan fried at Jimmy Johns is not that bad,country fried steak a tenderized top sirloin steak breaded with cornmeal and pan fried,4,91,Jimmy Johns,94,106,not that bad
anguilla arrosto Taco Spot bad,anguilla arrosto,0,17,Taco Spot,17,27,bad
I thought the aal gebacken at Hamiltons A Chicago Bar And Grill was tasty,aal gebacken,14,27,Hamiltons A Chicago Bar And Grill,30,64,tasty
I thought the boiled mackinaw trout at The Local Pizzeria was acceptable,boiled mackinaw trout,14,36,The Local Pizzeria,39,58,acceptable
double tenderloin steak with bacon Rafee Food Mart Inc tasty,double tenderloin steak with bacon,0,35,Rafee Food Mart Inc,35,55,tasty
edouard herriot chicken Cafe Il Cortile sucked,edouard herriot chicken,0,24,Cafe Il Cortile,24,40,sucked
loxtail clair a la manzanilla Feco Food Store bad,loxtail clair a la manzanilla,0,30,Feco Food Store,30,46,bad
the rindersaftgulasch mit krautsalat und parmesanspaghetti I had at Uncle Joes Jerk Chicken Fish was sucked,rindersaftgulasch mit krautsalat und parmesanspaghetti,4,59,Uncle Joes Jerk Chicken  Fish,-1,29,sucked
the fricassee von huhn mit edelpilzen und reis at Edison Park Bowl is could have been better,fricassee von huhn mit edelpilzen und reis,4,47,Edison Park Bowl,50,67,could have been better
I thought the not responsible for hats at North Pulaski Fresh Market was decent,not responsible for hats,14,39,North  Pulaski Fresh Market,-1,27,decent
the pommes de terre a la catalane at Smart From The Start llc is terrible,pommes de terre a la catalane,4,34,Smart From The Start llc,37,62,terrible
I thought the prunce whip at Mex Flavor was could have been better,prunce whip,14,26,Mex Flavor,29,40,could have been better
my eggs with frizzled beef at Las Delicias Bakery was not that bad,eggs with frizzled beef,3,27,Las Delicias Bakery,30,50,not that bad
Sushi Pink's stck lendenschnitte mit ochsenmark is good, stck lendenschnitte mit ochsenmark,12,48,Sushi Pink,0,11,good
the omelette argenteuil I had at Carmens Of Loyola was tasty,omelette argenteuil,4,24,Carmens  Of Loyola,-1,18,tasty
my cote de mouton bouchere at Wishbone Restaurant was could have been better,cote de mouton bouchere,3,27,Wishbone Restaurant,30,50,could have been better
I thought the butterscotch almond crumble sundae at See Thru Chinese Kitchen was sucked,butterscotch almond crumble sundae,14,49,See Thru Chinese Kitchen ,52,78,sucked
the cognac pierre ferrand reserve I had at Hearty Cafe Pancake House was acceptable,cognac pierre ferrand reserve,4,34,Hearty Cafe Pancake House,43,69,acceptable
mussels costa brava Ridge Country Club acceptable,mussels costa brava,0,20,Ridge Country Club,20,39,acceptable
the roast beef sandwich cold at El Tipico Mexican Grill is acceptable,roast beef sandwich cold ,4,30,El Tipico Mexican Grill,32,56,acceptable
salades romaine Marriot Marquis Chicago acceptable,salades romaine,0,16,Marriot Marquis Chicago,16,40,acceptable
chablis i Millers Pub Restaurant was bomb,chablis i,0,10,Millers Pub  Restaurant,-1,23,was bomb
tasty fresh mushrooms a la creme Zorbas Pastry Shop,fresh mushrooms a la creme,6,33,Zorbas Pastry Shop,33,52,tasty
my chinese broiled pork sandwich at Elvia Gama was tasty,chinese broiled pork sandwich,3,33,Elvia Gama,36,47,tasty
the irish whiskey sour I had at Edenic Soy Tofu Inc was decent,irish whiskey sour ,4,24,Edenic Soy  Tofu Inc,-1,20,decent
I thought the sponge cakes at Roditys Restaurant was sucked,sponge cakes,14,27,Roditys Restaurant,30,49,sucked
Hooka Bar Cafe spring chicken good, spring chicken ,14,31,Hooka Bar  Cafe,-1,15,good
I thought the gem gemse at Lee Wing Wah was decent,gem gemse,14,24,Lee Wing Wah,27,40,decent
the oxford john a durham beef stew with vegetables I had at El Jacalito was good,oxford john  a durham beef stew with vegetables,-1,47,El Jacalito,60,72,good
the smoked goose breast sandwich I had at Sabin Magnet was okay,smoked goose breast sandwich,4,33,Sabin Magnet,42,55,okay
I thought the jelly sauterne at West Lawn Foods was okay,jelly sauterne,14,29,West Lawn Foods,32,48,okay
puree of tomatoes soup with rice Community Food Mart was bomb,puree of tomatoes soup with rice,0,33,Community Food Mart,33,53,was bomb
Citgo ham or bacon and one egg delicious,ham or bacon and one egg,6,31,Citgo,0,6,delicious
my donauschill a la boistelle in weissweinsauce mit champignons at Telpochcalli was okay,donauschill a la boistelle in weissweinsauce mit champignons,3,64,Telpochcalli,67,80,okay
the consomme madrilene hot I had at Frans Beef was terrible,consomme madrilene hot,4,27,Frans Beef,36,47,terrible
acceptable astrakan caviar on toast Food And Liquor Express,astrakan caviar on toast,11,36,Food And Liquor Express,36,60,acceptable
I thought the mutter paneer fresh home made cottage cheese gently cooked with tender garden peas and fresh spices at Shoop was terrible,mutter paneer fresh home made cottage cheese gently cooked with tender garden peas and fresh spices,14,114,Shoop,117,123,terrible
I thought the minestrone monacale at Westin River North Chgo Hotel Employee Cafe was okay,minestrone monacale,14,34,Westin River North Chgo Hotel  Employee Cafe,-1,44,okay
the sanborn instant coffee at St Rest Country Kitchen is tasty,sanborn instant coffee,4,27,St Rest Country Kitchen,30,54,tasty
the pate de turbot froid aux homards I had at Reavis was acceptable,pate de turbot froid aux homards,4,37,Reavis,46,53,acceptable
I thought the chicory salad and tomatoes at Gohyang Food Corporation was okay,chicory salad and tomatoes,14,41,Gohyang Food Corporation,44,69,okay
my abatis de dinde at Taqueria Uptown was could have been better,abatis de dinde,3,19,Taqueria Uptown,22,38,could have been better
the feine gemseplatte mit spiegelei und butterreis at Kwame Nkrumah Academy is sucked,feine gemseplatte mit spiegelei und butterreis,4,51,Kwame Nkrumah Academy,54,76,sucked
Mejora Tu Estilo De Vida crme dasperges nouvelles aux dlices was bomb,crme dasperges nouvelles aux dlices,25,61,Mejora Tu Estilo De Vida,0,25,was bomb
the lachsschnitten mit ei at Kitchfix is okay,lachsschnitten  mit ei,-1,22,Kitchfix,29,38,okay
I thought the salade des gobelins at St Andrews Greek Orthodox Church was delicious,salade des gobelins,14,34,St Andrews Greek Orthodox Church,37,70,delicious
tea biscuits with butter Chayito Grocery Dollar Store decent,tea biscuits with butter,0,25,Chayito Grocery Dollar Store,25,54,decent
the spaghietti au gratin I had at Pita O Grille was okay,spaghietti au gratin,4,25,Pita O Grille,34,48,okay
rognon flambe lucas The Local Pizzeria decent,rognon flambe lucas,0,20,The Local Pizzeria,20,39,decent
I thought the blue vein cheese at Room Forty Three was delicious,blue vein cheese,14,31,Room Forty Three,34,51,delicious
chateaubriand maison personas Ferdinand Food Mart Inc decent,chateaubriand maison  personas,-1,30,Ferdinand Food Mart Inc,30,54,decent
I thought the fresh russian keta at Moo Oink Inc was good,fresh russian keta,14,33,Moo  Oink Inc,-1,13,good
Giordanos Pizza potrero fizz cracked ice bad,potrero fizz  cracked ice,-1,25,Giordanos Pizza,0,16,bad
I thought the salad princesse at Half Italian was not that bad,salad princesse,14,30,Half Italian,33,46,not that bad
scrambles eggs Groundswell Coffee Roasters terrible,scrambles eggs,0,15,Groundswell Coffee Roasters,15,43,terrible
my huevos rancheros two scrambled eggs with adzuki and pinto beans at Ps Restaurant was not that good,huevos rancheros two scrambled eggs with adzuki and pinto beans,3,67,Ps Restaurant,70,84,not that good
assorted dry cereals with sliced banana El Firulete Inc good,assorted dry cereals with sliced banana,0,40,El Firulete Inc,40,56,good
corncob smoked ham with appleraisin chutney Cafe terrible,corncob smoked ham with appleraisin chutney ,0,45,Cafe ,44,50,terrible
my curied shrimps at Kennedy Sub was bad,curied shrimps,3,18,Kennedy Sub,21,33,bad
my porkchop at Italian Village Restaurant Inc was okay,porkchop,3,12,Italian Village Restaurant Inc,15,46,okay
I thought the fresh mushrooms sautes on toast at Birchwood Kitchen was delicious,fresh mushrooms sautes on toast ,14,47,Birchwood Kitchen,49,67,delicious
could have been better filet mignon cafe de paris Jerk Kitchen,filet mignon cafe de paris,23,50,Jerk Kitchen,50,63,could have been better
New Pine Valley Restaurant's fruit delight assorted luscious fruits with your choice of cottage cheese is could have been better, fruit delight  assorted luscious fruits with your choice of cottage cheese,-1,75,New Pine Valley Restaurant,0,27,could have been better
planked double beef tenderloin Chop Suey Express not that good,planked double beef tenderloin,0,31,Chop Suey Express,31,49,not that good
my hot house chicken barigoule at Youth Connection was good,hot house chicken barigoule ,3,32,Youth Connection,34,51,good
the coffee single pot at Ashe is terrible,coffee single pot,4,22,Ashe,25,30,terrible
I thought the old sunnybrook at Koval was bad,old sunnybrook,14,29,Koval,32,38,bad
tasty fried fish w plain fried rice Stuart G Ferst School,fried fish  w plain fried rice,-1,30,Stuart G Ferst School,36,58,tasty
the ale basss pale I had at Sullivan was decent,ale basss pale,4,19,Sullivan  ,-1,10,decent
my baked bass buena vista at Tequila Restaurant was acceptable,baked bass buena vista,3,26,Tequila Restaurant,29,48,acceptable
the farewell cake at Tjam Kitchen is sucked,farewell cake,4,18,Tjam Kitchen,21,34,sucked
not that good bushmills irish whiskey Expression Lavazza,bushmills irish whiskey,14,38,Expression Lavazza,38,57,not that good
Louis A Weiss Memorial Hospital's pommes de terre des bermudes is was bomb,pommes de terre des bermudes,34,63,Louis A Weiss Memorial Hospital,0,32,was bomb
the buche de noel des rois mages at Hala In Lakeview is was bomb,buche de noel des rois mages,4,33,Hala In Lakeview,36,53,was bomb
I thought the trousers at Jellybean Learning Center was bad,trousers ,14,24,Jellybean Learning Center,26,52,bad
Riviera Maya j bvsop not that bad,j  bvsop,-1,8,Riviera Maya,0,13,not that bad
Grand Katachi camoneille okay,camoneille,14,25,Grand Katachi,0,14,okay
Taximaroa Bakery corn beef hash with egg terrible,corn beef hash with egg,17,41,Taximaroa Bakery,0,17,terrible
I thought the open oyster sandwich served with tartare sauce at Las Maravillas Restaurant was could have been better,open oyster sandwich served with tartare sauce,14,61,Las Maravillas Restaurant,64,90,could have been better
Parisis Drive In's porterhouse of veal with spaghetti is terrible,porterhouse of veal with spaghetti,19,54,Parisis Drive In,0,17,terrible
New Punjab Sweet's soda water in syphons is not that good,soda water in syphons,19,41,New Punjab Sweet,0,17,not that good
the neau pad ped sauteed beef with hot curry at Minas Mexican Home Cooking And Snacks is decent,neau pad ped sauteed beef with hot curry,4,45,Minas Mexican Home Cooking And Snacks,48,86,decent
I thought the blue ribbon minute steak at Great China House Inc was not that good,blue ribbon minute steak,14,39,Great China House Inc,42,64,not that good
the fried jew fish at Reach For The Stars Child Care is tasty,fried jew fish,4,19,Reach For The Stars Child Care,22,53,tasty
the multer m flote I had at G N Snack Shop was acceptable,multer m flote,4,19,G  N Snack Shop,-1,15,acceptable
gilberts tawny port vso Hampton Inn acceptable,gilberts tawny port vso,0,24,Hampton Inn,24,36,acceptable
Creative Little Ones Academy Inc broadway rich creamy shake decent,broadway rich creamy shake,33,60,Creative Little Ones Academy Inc,0,33,decent
Taco Burrito King's breakfast cocoa is not that good,breakfast cocoa,20,36,Taco Burrito King,0,18,not that good
filetes de lenguado bellas artes Sabri Nihari Restaurant decent,filetes de lenguado bellas artes,0,33,Sabri Nihari Restaurant,33,57,decent
Ersula Howard Child Care Center pokelkann mit weinkraut terrible,pokelkann mit weinkraut,32,56,Ersula Howard Child Care Center,0,32,terrible
good ravioli alla matriciana with spicy tomato sauce Daily Meat Supply Inc,ravioli alla matriciana with spicy tomato sauce,5,53,Daily Meat Supply Inc,53,75,good
tasty pork tenderloin fried Coquito Cocina Puertorriquena,pork tenderloin fried,6,28,Coquito Cocina Puertorriquena,28,58,tasty
Mc Donalds schweinskotelett berliner art terrible,schweinskotelett berliner art,11,41,Mc Donalds ,0,12,terrible
I thought the huitres rockefeller at Young Elementary was not that bad,huitres rockefeller,14,34,Young Elementary,37,54,not that bad
Passages Charter School elderberry wine good,elderberry wine,24,40,Passages  Charter School,-1,24,good
not that good spring green cabbage Jensen,spring green cabbage,14,35,Jensen,35,42,not that good
the fried porgy at Renaissance Chicago Hotel is was bomb,fried porgy,4,16,Renaissance Chicago Hotel,19,45,was bomb
okay marhahus tejf tormval Crosbys Kitchen,marhahus tejf tormval,5,27,Crosbys Kitchen,27,43,okay
lozenges Protein Bar decent,lozenges,0,9,Protein Bar,9,21,decent
good cream shells Bless Hands,cream shells,5,18,Bless Hands,18,30,good
Which Wich skoal bread decent,skoal bread,11,23,Which Wich,0,11,decent
I thought the macaroni au naturel at Autumn Green At Wright Campus was sucked,macaroni au naturel,14,34,Autumn Green At Wright Campus,37,67,sucked
my canard a lorange at Jimmy Johns Gourmet Subs was terrible,canard a lorange  ,-1,18,Jimmy Johns Gourmet Subs,23,48,terrible
the cream of fresh spinach consomme tureen at Azur Meat Market is was bomb,cream of fresh spinach  consomme tureen,-1,39,Azur Meat Market,46,63,was bomb
the salad with chicken at The Clare is was bomb,salad with chicken,4,23,The Clare,26,36,was bomb
the cold boiled carp in aspic at Supermercado La Villa is not that good,cold boiled carp in aspic,4,30,Supermercado La Villa,33,55,not that good
the chateau courtslesmuts at Macys is not that good,chateau courtslesmuts,4,26,Macys,29,35,not that good
mackeral Ab State Petroleum Inc terrible,mackeral,0,9,Ab State Petroleum Inc,9,32,terrible
the game pies at Tanzitaro Inc is acceptable,game pies,4,14,Tanzitaro Inc,17,31,acceptable
the kalbsteak au four mit champ und pommes frites I had at Whole Foods Market was terrible,kalbsteak au four mit champ und pommes frites,4,50,Whole Foods Market,59,78,terrible
my meunster cheese at The Halal Guys was delicious,meunster cheese,3,19,The Halal Guys,22,37,delicious
Francisco Espinoza's schinkenbrot mit gekochtem schinken is was bomb,schinkenbrot mit gekochtem schinken,21,57,Francisco Espinoza,0,19,was bomb
the captain roman cocktail I had at Mollison Elementary School was terrible,captain roman cocktail,4,27,Mollison Elementary School,36,63,terrible
I thought the beef brochette teriyaki at Famous Sheas Jerk Chicken Bbq was not that bad,beef brochette teriyaki,14,38,Famous Sheas Jerk Chicken  Bbq,-1,30,not that bad
could have been better mrs mccreadys pepper mangoes Ellys Pancake House,mrs mccreadys pepper mangoes,23,52,Ellys Pancake House,52,72,could have been better
I thought the vin de pichon longueville at Azteca Tacos was sucked,vin de pichon longueville,14,40,Azteca Tacos,43,56,sucked
a small salad plate Whole Foods Market good,a small salad plate,0,20,Whole Foods Market,20,39,good
the chipped smoked beef with scrambled eggs I had at Chartwells was was bomb,chipped smoked beef with scrambled eggs,4,44,Chartwells,53,64,was bomb
